"Player.x","Pos1","Tm","Season","Conference","Role","Play","Age","MP","X3P.","X2P.","FT.","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Jamal Murray","PG","DEN","2017-18","West","Back","No",20,31.7,0.378,0.502,0.905,1,2.7,3.4,1,0.3,2.1,2.1,3355320
"Jameer Nelson","PG","DET","2017-18","West","Back","No",35,20.3,0.331,0.45,0.8,0.3,1.8,3.6,0.5,0.1,1.3,1.6,6998920
"Jamel Artis","SG","ORL","2017-18","Est","Back","No",25,18.6,0.276,0.46,0.583,0.3,2.3,1.2,0.1,0.2,0.5,0.7,77250
"James Ennis","SF","DET","2017-18","West","Front","No",27,22.3,0.333,0.567,0.836,1,2.1,1,0.7,0.3,0.8,1.9,3028410
"James Harden","SG","HOU","2017-18","West","Back","Yes",28,35.4,0.367,0.531,0.858,0.6,4.8,8.8,1.8,0.7,4.4,2.3,28299399
"James Johnson","PF","MIA","2017-18","Est","Front","No",30,26.6,0.308,0.587,0.698,0.8,4.1,3.8,1,0.7,1.9,2.6,13734000
"Jamil Wilson","SF","LAC","2017-18","West","Front","No",27,18.3,0.429,0.611,0.5,0.2,1.9,0.7,0.3,0.5,0.5,2.3,77250
"JaMychal Green","PF","MEM","2017-18","West","Front","No",27,28,0.339,0.499,0.721,2.7,5.8,1.4,0.6,0.5,1.4,2.8,8533333
"Jared Dudley","PF","PHO","2017-18","West","Front","No",32,14.3,0.363,0.452,0.771,0.2,1.8,1.6,0.5,0.2,0.6,1.8,10000000
"Jarell Martin","PF","MEM","2017-18","West","Front","No",23,22.8,0.347,0.47,0.767,1.3,3,1,0.5,0.7,1.2,2.9,1471382
"Jarrett Allen","C","BRK","2017-18","Est","Front","No",19,20,0.333,0.599,0.776,2,3.4,0.7,0.4,1.2,1.1,2,1713720
"Jarrett Jack","PG","NYK","2017-18","Est","Back","No",34,25,0.291,0.459,0.84,0.4,2.7,5.6,0.6,0.1,1.9,1.6,2328652
"Jason Smith","C","WAS","2017-18","Est","Front","No",31,8.6,0.125,0.494,0.905,0.5,1.1,0.4,0.1,0.4,0.5,1.3,5225000
"Jason Terry","SG","MIL","2017-18","Est","Back","No",40,16,0.348,0.487,0.889,0.1,0.8,1.2,0.8,0.3,0.5,1,2328652
"JaVale McGee","C","GSW","2017-18","West","Front","No",30,9.5,0,0.638,0.731,0.9,1.7,0.5,0.3,0.9,0.4,1.4,2116955
"Jawun Evans","PG","LAC","2017-18","West","Back","No",21,16.2,0.278,0.372,0.776,0.2,1.6,2.1,0.8,0.1,0.9,2,815615
"Jaylen Brown","SG","BOS","2017-18","Est","Back","No",21,30.7,0.395,0.507,0.644,0.9,4,1.6,1,0.4,1.8,2.6,4956480
"Jayson Tatum","SF","BOS","2017-18","Est","Front","No",19,30.5,0.434,0.492,0.826,0.6,4.4,1.6,1,0.7,1.4,2.1,5645400
"Jeff Green","PF","CLE","2017-18","Est","Front","No",31,23.4,0.312,0.54,0.868,0.8,2.4,1.3,0.5,0.4,1,1.9,2116955
"Jeff Teague","PG","MIN","2017-18","West","Back","No",29,33,0.368,0.477,0.845,0.3,2.6,7,1.5,0.3,2.5,2.4,19000000
"Jerami Grant","PF","OKC","2017-18","West","Front","No",23,20.3,0.291,0.613,0.675,1.1,2.9,0.7,0.4,1,0.7,1.9,1524305
"Jeremy Lamb","SG","CHO","2017-18","Est","Back","No",25,24.6,0.37,0.495,0.861,0.6,3.4,2.3,0.8,0.4,1.2,1.7,7000000
"Jerian Grant","PG","CHI","2017-18","Est","Back","No",25,22.8,0.326,0.468,0.745,0.4,1.9,4.6,0.9,0.1,1.2,1.8,1713840
"Jerryd Bayless","SG","PHI","2017-18","Est","Back","No",29,23.7,0.37,0.474,0.795,0.4,1.7,1.4,0.6,0.2,1.2,2.3,9000000
"Jimmy Butler","SG","MIN","2017-18","West","Back","No",28,36.7,0.35,0.509,0.854,1.3,4,4.9,2,0.4,1.8,1.3,18696918
"Jodie Meeks","SG","WAS","2017-18","Est","Back","No",30,14.5,0.343,0.464,0.863,0.2,1.4,0.9,0.4,0.1,0.5,0.7,3290000
"Joe Harris","SG","BRK","2017-18","Est","Back","No",26,25.3,0.419,0.589,0.827,0.7,2.7,1.6,0.4,0.3,1.2,2,1524305
"Joe Ingles","SF","UTA","2017-18","West","Front","No",30,31.4,0.44,0.516,0.795,0.3,3.9,4.8,1.1,0.2,1.9,2.2,13636364
"Joe Johnson","SF","HOU","2017-18","West","Back","No",36,21.9,0.276,0.493,0.889,0.3,2.9,1.5,0.3,0.1,0.9,1.2,10254904
"Joel Embiid","C","PHI","2017-18","Est","Front","Yes",23,30.3,0.308,0.527,0.769,2.3,8.7,3.2,0.6,1.8,3.7,3.3,6100266
"Joffrey Lauvergne","C","SAS","2017-18","West","Front","No",26,9.7,0,0.53,0.638,1.1,2,0.7,0.2,0.1,0.6,0.8,1524305
"John Collins","PF","ATL","2017-18","Est","Front","No",20,24.1,0.34,0.598,0.715,2.4,4.9,1.3,0.6,1.1,1.4,2.9,1936920
"John Henson","C","MIL","2017-18","Est","Front","No",27,25.9,0.143,0.578,0.57,2,4.8,1.5,0.6,1.4,1.1,2.7,11422536
"John Holland","SF","CLE","2017-18","Est","Back","No",29,7.3,0.306,0.261,0.692,0.3,0.8,0.2,0.3,0.1,0.3,0.4,77250
"John Wall","PG","WAS","2017-18","Est","Back","No",27,34.4,0.371,0.436,0.726,0.5,3.1,9.6,1.4,1.1,3.9,2,18063850
"Johnathan Motley","PF","DAL","2017-18","West","Front","No",22,16,0.167,0.565,0.536,1.3,3.2,0.6,0.3,0.2,0.8,1.6,77250
"Johnny O'Bryant","PF","CHO","2017-18","Est","Front","No",24,10.5,0.326,0.422,0.84,0.8,1.8,0.4,0.3,0.2,0.4,1.3,1524305
"Jon Leuer","PF","DET","2017-18","Est","Front","No",28,17,0,0.455,0.867,0.9,3.1,0.6,0.1,0.4,0.9,2,10497319
"Jonas Jerebko","PF","UTA","2017-18","West","Front","No",30,15.3,0.414,0.511,0.807,0.7,2.6,0.6,0.3,0.2,0.4,1.7,4000000
"Jonas Valanciunas","C","TOR","2017-18","Est","Front","No",25,22.4,0.405,0.587,0.806,2.4,6.2,1.1,0.4,0.9,1.5,2.5,15460675
"Jonathan Isaac","PF","ORL","2017-18","Est","Front","No",20,19.9,0.348,0.394,0.76,0.6,3.1,0.7,1.2,1.1,1,1.8,4186320
"Jonathon Simmons","SG","ORL","2017-18","Est","Front","No",28,29.4,0.338,0.512,0.768,0.9,2.6,2.5,0.8,0.2,2.1,2.5,6300000
"Jordan Bell","C","GSW","2017-18","West","Front","No",23,14.2,0,0.641,0.682,1.1,2.6,1.8,0.6,1,0.9,1.6,815615
"Jordan Clarkson","SG","CLE","2017-18","West","Back","No",25,23.3,0.352,0.5,0.8,0.7,2,2.7,0.7,0.1,1.6,1.3,11562500
"Jordan Mickey","PF","MIA","2017-18","Est","Front","No",23,12.3,0.125,0.561,0.684,0.8,2.7,0.4,0.3,0.4,0.8,1.6,1471382
"José Calderón","PG","CLE","2017-18","Est","Back","No",36,16,0.464,0.545,0.8,0.2,1.2,2.1,0.5,0,0.7,1.4,2328652
"Josh Hart","SG","LAL","2017-18","West","Back","No",22,23.2,0.396,0.551,0.702,0.7,3.5,1.3,0.7,0.3,0.7,1.7,1394520
"Josh Huestis","PF","OKC","2017-18","West","Front","No",26,14.2,0.287,0.403,0.3,0.6,1.7,0.3,0.2,0.6,0.4,1.2,1471382
"Josh Jackson","SF","PHO","2017-18","West","Front","No",20,25.4,0.263,0.464,0.634,1.2,3.3,1.5,1,0.5,1.9,2.8,5090040
"Josh Magette","PG","ATL","2017-18","Est","Back","No",28,12,0.364,0.292,1,0.1,0.9,3.2,0.4,0.1,0.5,0.9,77250
"Josh Richardson","SF","MIA","2017-18","Est","Front","No",24,33.2,0.378,0.495,0.845,0.9,2.7,2.9,1.5,0.9,1.7,2.5,1471382
"Jrue Holiday","SG","NOP","2017-18","West","Back","No",27,36.1,0.337,0.557,0.786,0.8,3.7,6,1.5,0.8,2.6,2.5,25686667
"Juan Hernangómez","PF","DEN","2017-18","West","Front","No",22,11.1,0.28,0.6,0.833,0.7,1.4,0.5,0.2,0.1,0.4,1,2076840
"Julius Randle","C","LAL","2017-18","West","Front","No",23,26.7,0.222,0.575,0.718,2.2,5.8,2.6,0.5,0.5,2.6,3.3,4149242
"Justin Anderson","SF","PHI","2017-18","Est","Back","No",24,13.7,0.33,0.535,0.737,0.7,1.8,0.7,0.4,0.2,0.4,1.4,1579440
"Justin Holiday","SG","CHI","2017-18","Est","Back","No",28,31.5,0.359,0.387,0.823,0.4,3.6,2.1,1.1,0.4,1.3,1.9,4500000
"Justin Jackson","SF","SAC","2017-18","West","Front","No",22,22.1,0.308,0.547,0.722,0.4,2.4,1.1,0.4,0.2,0.6,1.2,2365560
"Justise Winslow","PF","MIA","2017-18","Est","Front","No",21,24.7,0.38,0.44,0.635,0.9,4.5,2.2,0.8,0.5,1.1,2.1,2705040
"Jusuf Nurkic","C","POR","2017-18","West","Front","No",23,26.4,0,0.508,0.63,2.4,6.6,1.8,0.8,1.4,2.3,3.1,2947304
"Kadeem Allen","PG","BOS","2017-18","Est","Back","No",25,5.9,0,0.545,0.778,0.2,0.4,0.7,0.2,0.1,0.5,0.8,77250
"Karl-Anthony Towns","C","MIN","2017-18","West","Front","Yes",22,35.6,0.421,0.585,0.858,2.9,9.4,2.4,0.8,1.4,1.9,3.5,6216840
"Kawhi Leonard","SF","SAS","2017-18","West","Front","No",26,23.3,0.314,0.539,0.816,0.7,4,2.3,2,1,1.8,1,18868625
"Kay Felder","PG","DET","2017-18","Est","Back","No",22,8.8,0.211,0.333,0.917,0.2,0.9,1.3,0.2,0.1,1,0.7,551866
"Kelly Olynyk","PF","MIA","2017-18","Est","Front","No",26,23.4,0.379,0.59,0.77,1.2,4.5,2.7,0.8,0.5,1.9,2.9,12007169
"Kemba Walker","PG","CHO","2017-18","Est","Back","Yes",27,34.2,0.384,0.469,0.864,0.4,2.7,5.6,1.1,0.3,2.2,1.2,12000000
"Kenneth Faried","PF","DEN","2017-18","West","Front","No",28,14.4,0,0.517,0.706,2.1,2.7,0.6,0.4,0.4,0.7,1.6,12921348
"Kent Bazemore","SG","ATL","2017-18","Est","Back","No",28,27.5,0.394,0.438,0.796,0.4,3.4,3.5,1.5,0.7,2.4,2.3,16910112
"Kentavious Caldwell-Pope","SG","LAL","2017-18","West","Back","No",24,33.2,0.383,0.473,0.789,0.8,4.4,2.2,1.4,0.2,1.3,2,17745894
"Kevin Durant","SF","GSW","2017-18","West","Front","Yes",29,34.2,0.419,0.565,0.889,0.5,6.4,5.4,0.7,1.8,3,2,25000000
"Kevin Love","C","CLE","2017-18","Est","Front","No",29,28,0.415,0.494,0.88,1.7,7.5,1.7,0.7,0.4,1.5,2,22642350
"Kevon Looney","C","GSW","2017-18","West","Front","No",21,13.8,0.2,0.59,0.545,1.3,2,0.6,0.5,0.8,0.5,1.6,1471382
"Khris Middleton","SF","MIL","2017-18","Est","Front","No",26,36.4,0.359,0.517,0.884,0.5,4.7,4,1.5,0.3,2.3,3.3,14100000
"Klay Thompson","SG","GSW","2017-18","West","Back","Yes",27,34.3,0.44,0.526,0.837,0.4,3.4,2.5,0.8,0.5,1.8,1.6,17826150
"Kobi Simmons","PG","MEM","2017-18","West","Back","No",20,20.1,0.282,0.46,1,0.4,1.1,2.1,0.6,0.2,1.4,1.9,77250
"Kris Dunn","PG","CHI","2017-18","Est","Back","No",23,29.3,0.321,0.457,0.737,0.5,3.8,6,2,0.5,2.9,3.3,4046760
"Kristaps Porzingis","PF","NYK","2017-18","Est","Front","No",22,32.4,0.395,0.454,0.793,1.3,5.3,1.2,0.8,2.4,1.9,2.9,4503600
"Kyle Anderson","SF","SAS","2017-18","West","Front","No",24,26.7,0.333,0.556,0.712,1.1,4.2,2.7,1.6,0.8,1.3,1.5,2151704
"Kyle Collinsworth","SF","DAL","2017-18","West","Front","No",26,15,0.235,0.415,0.525,1,2.3,1.8,0.5,0.3,0.8,1.4,595702
"Kyle Korver","SG","CLE","2017-18","Est","Back","No",36,21.6,0.436,0.537,0.889,0.1,2.1,1.2,0.4,0.4,0.8,1.8,7000000
"Kyle Kuzma","PF","LAL","2017-18","West","Front","No",22,31.2,0.366,0.511,0.707,1.1,5.1,1.8,0.6,0.4,1.8,2.1,1423560
"Kyle Lowry","PG","TOR","2017-18","Est","Back","Yes",31,32.2,0.399,0.474,0.854,0.8,4.7,6.9,1.1,0.2,2.3,2.5,28903704
"Kyle O'Quinn","C","NYK","2017-18","Est","Front","No",27,18,0.235,0.599,0.772,1.6,4.5,2.1,0.5,1.3,1.3,2.5,4087500
"Kyle Singler","SF","OKC","2017-18","West","Front","No",29,4.9,0.4,0.313,0.538,0.1,0.8,0.2,0.1,0,0.3,0.3,4666500
"Kyrie Irving","PG","BOS","2017-18","Est","Back","Yes",25,32.2,0.408,0.541,0.889,0.6,3.2,5.1,1.1,0.3,2.3,2,18868626
"LaMarcus Aldridge","C","SAS","2017-18","West","Front","Yes",32,33.5,0.293,0.526,0.837,3.3,5.2,2,0.6,1.2,1.5,2.1,21461010
"Lance Stephenson","SG","IND","2017-18","Est","Back","No",27,22.6,0.289,0.495,0.661,0.8,4.4,2.9,0.6,0.2,1.6,2.2,4180000
"Lance Thomas","PF","NYK","2017-18","Est","Front","No",29,18.5,0.403,0.364,0.83,0.6,1.8,0.6,0.4,0.2,0.5,1.8,6655325
"Langston Galloway","SG","DET","2017-18","Est","Back","No",26,14.9,0.344,0.418,0.805,0.2,1.4,1,0.6,0.1,0.3,0.7,6666667
"Lauri Markkanen","PF","CHI","2017-18","Est","Front","No",20,29.7,0.362,0.497,0.843,1.2,6.3,1.2,0.6,0.6,1.2,1.5,3821640
"LeBron James","PF","CLE","2017-18","Est","Front","Yes",33,36.9,0.367,0.603,0.731,1.2,7.5,9.1,1.4,0.9,4.2,1.7,33285709
"London Perrantes","PG","CLE","2017-18","Est","Back","No",23,4.7,0,0.2,0.6,0.1,0.2,0.4,0.1,0.1,0.1,0.4,77250
"Lonzo Ball","PG","LAL","2017-18","West","Back","No",20,34.2,0.305,0.42,0.451,1.3,5.6,7.2,1.7,0.8,2.6,2.3,6286560
"Lorenzo Brown","PG","TOR","2017-18","Est","Back","No",27,9.9,0.167,0.545,1,0.1,1,0.9,0.4,0,0.2,0.5,77250
"Luc Mbah a Moute","PF","HOU","2017-18","West","Front","No",31,25.6,0.364,0.599,0.684,0.4,2.7,0.9,1.2,0.4,1.1,1.6,2116955
"Lucas Nogueira","C","TOR","2017-18","Est","Front","No",25,8.5,0.263,0.721,0.679,0.4,1.4,0.4,0.5,0.9,0.3,1,2947304
"Luke Babbitt","SF","MIA","2017-18","Est","Front","No",28,14.3,0.385,0.525,0.773,0.1,1.8,0.6,0.2,0.1,0.4,1.1,1974159
"Luke Kennard","SG","DET","2017-18","Est","Back","No",21,20,0.415,0.463,0.855,0.3,2.1,1.7,0.6,0.2,0.9,1.2,2759280
"Luke Kornet","PF","NYK","2017-18","Est","Front","No",22,16.3,0.354,0.457,0.727,0.6,2.7,1.3,0.3,0.8,0.6,1.4,77250
"Malachi Richardson","SG","TOR","2017-18","West","Back","No",22,12.5,0.3,0.36,0.773,0.2,1.1,0.5,0.4,0,0.4,1,1504560
"Malcolm Brogdon","PG","MIL","2017-18","Est","Back","No",25,29.9,0.385,0.532,0.882,0.5,2.8,3.2,0.9,0.3,1.4,2.7,1312611
"Malcolm Delaney","PG","ATL","2017-18","Est","Back","No",28,18.8,0.371,0.391,0.804,0.2,1.7,3,0.6,0.1,1.2,1.5,2500000
"Malcolm Miller","SF","TOR","2017-18","Est","Front","No",24,8.4,0.381,0.714,1,0.3,0.7,0.2,0.1,0.1,0.3,0.7,77250
"Malik Beasley","SG","DEN","2017-18","West","Back","No",21,9.4,0.341,0.469,0.667,0.2,0.9,0.5,0.2,0.1,0.4,0.6,1700640
"Malik Monk","SG","CHO","2017-18","Est","Back","No",19,13.6,0.342,0.385,0.842,0.1,0.9,1.4,0.3,0.1,0.8,1,2904480
"Manu Ginóbili","SG","SAS","2017-18","West","Back","No",40,20,0.333,0.506,0.84,0.3,1.9,2.5,0.7,0.2,1.6,1.9,2500000
"Marc Gasol","C","MEM","2017-18","West","Front","No",33,33,0.341,0.456,0.834,1.1,7,4.2,0.7,1.4,2.7,2.5,22642350
"Marco Belinelli","SG","PHI","2017-18","Est","Back","No",31,24.3,0.377,0.509,0.908,0.3,1.6,1.9,0.8,0.2,1.2,1.1,7082277
"Marcus Georges-Hunt","SG","MIN","2017-18","West","Back","No",23,5.3,0.267,0.515,0.619,0.2,0.2,0.2,0.1,0,0.1,0.8,1312611
"Marcus Morris","PF","BOS","2017-18","Est","Front","No",28,26.8,0.368,0.467,0.805,0.8,4.6,1.3,0.6,0.2,1.2,1.9,5000000
"Marcus Smart","SG","BOS","2017-18","Est","Back","No",23,29.9,0.301,0.429,0.729,0.8,2.7,4.8,1.3,0.4,2.4,2.5,4538019
"Mario Chalmers","PG","MEM","2017-18","West","Back","No",31,21.5,0.277,0.456,0.855,0.2,2.2,3,1.2,0.2,1.8,2.7,2106407
"Mario Hezonja","SF","ORL","2017-18","Est","Back","No",22,22.1,0.337,0.523,0.819,0.5,3.2,1.4,1.1,0.4,1.1,1.8,4078320
"Markelle Fultz","SG","PHI","2017-18","Est","Back","No",19,18.1,0,0.409,0.476,0.8,2.3,3.8,0.9,0.3,1.2,1.6,7026240
"Markieff Morris","PF","WAS","2017-18","Est","Front","No",28,27,0.367,0.529,0.82,1,4.6,1.9,0.8,0.5,1.7,3,8000000
"Marquese Chriss","PF","PHO","2017-18","West","Front","No",20,21.2,0.295,0.509,0.608,1.1,4.4,1.2,0.7,1,1.5,2.8,3073800
"Marreese Speights","C","ORL","2017-18","Est","Front","No",30,13,0.369,0.448,0.727,0.4,2.2,0.8,0.2,0.4,0.8,2,2116955
"Marvin Williams","PF","CHO","2017-18","Est","Front","No",31,25.7,0.413,0.512,0.829,0.9,3.8,1.2,0.7,0.5,0.8,1.5,13168750
"Mason Plumlee","C","DEN","2017-18","West","Front","No",27,19.4,0,0.602,0.458,1.8,3.6,1.9,0.7,1.1,1.4,2.5,14041096
"Matthew Dellavedova","PG","MIL","2017-18","Est","Back","No",27,18.7,0.372,0.351,0.926,0.4,1.3,3.8,0.4,0,1.3,1.8,9607500
"Maxi Kleber","PF","DAL","2017-18","West","Front","No",26,16.8,0.313,0.613,0.746,1,2.3,0.7,0.4,0.7,0.4,1.6,815615
"Meyers Leonard","C","POR","2017-18","West","Front","No",25,7.7,0.423,0.673,0.818,0.4,1.8,0.5,0.2,0,0.3,1.1,9904495
"Michael Beasley","PF","NYK","2017-18","Est","Front","No",29,22.3,0.395,0.52,0.78,1.3,4.3,1.7,0.5,0.6,1.9,2,2116955
"Michael Carter-Williams","PG","CHO","2017-18","Est","Back","No",26,16.1,0.237,0.365,0.82,0.7,1.9,2.2,0.8,0.4,1,1.9,2700000
"Michael Kidd-Gilchrist","SF","CHO","2017-18","Est","Front","No",24,25,0,0.505,0.684,1.1,2.9,1,0.7,0.4,0.7,1.9,13000000
"Mike James","PG","NOP","2017-18","West","Back","No",27,19.1,0.265,0.435,0.762,0.4,2.1,3.5,0.8,0.2,1.4,1.3,164802
"Mike Muscala","C","ATL","2017-18","Est","Front","No",26,20,0.371,0.559,0.919,1.1,3.3,1,0.6,0.5,0.8,1.5,5000000
"Mike Scott","PF","WAS","2017-18","Est","Front","No",29,18.5,0.405,0.582,0.658,0.7,2.6,1.1,0.3,0.1,1,1.9,1709538
"Miloš Teodosic","PG","LAC","2017-18","West","Back","No",30,25.2,0.379,0.492,0.848,0.4,2.4,4.6,0.5,0.1,2.2,2.3,6000000
"Milton Doyle","SG","BRK","2017-18","Est","Back","No",24,12.5,0.174,0.375,0.5,0.3,1.5,1,0.6,0.2,0.2,1.3,127250
"Montrezl Harrell","C","LAC","2017-18","West","Front","No",24,17,0.143,0.641,0.626,1.4,2.7,1,0.5,0.7,0.9,1.9,1471382
"Myke Henry","SF","MEM","2017-18","West","Front","No",25,18.9,0.328,0.431,0.6,0.5,1.4,1.1,1.6,0.3,1,1.4,77250
"Myles Turner","C","IND","2017-18","Est","Front","No",21,28.2,0.357,0.519,0.777,1.4,5,1.3,0.6,1.8,1.5,2.9,2483040
"Nemanja Bjelica","PF","MIN","2017-18","West","Front","No",29,20.5,0.415,0.505,0.8,0.8,3.3,1.3,0.7,0.2,0.8,2.1,3950000
"Nerlens Noel","C","DAL","2017-18","West","Front","No",23,15.7,0,0.529,0.75,1.6,4,0.7,1,0.7,0.9,2,4187599
"Nick Young","SG","GSW","2017-18","West","Back","No",32,17.4,0.377,0.481,0.862,0.3,1.3,0.5,0.5,0.1,0.5,1.3,5192000
"Nicolas Batum","SG","CHO","2017-18","Est","Back","No",29,31,0.336,0.473,0.831,0.9,3.9,5.5,1,0.4,2,1.1,22434783
"Nik Stauskas","SG","BRK","2017-18","Est","Back","No",24,12.8,0.4,0.37,0.724,0.1,1.5,1,0.2,0.1,0.6,0.6,3807146
"Nikola Jokic","C","DEN","2017-18","West","Front","No",22,32.6,0.396,0.538,0.85,2.6,8.1,6.1,1.2,0.8,2.8,2.8,1471382
"Nikola Mirotic","PF","NOP","2017-18","Est","Front","No",26,27.2,0.377,0.525,0.818,1.1,6.3,1.5,0.8,0.7,1.1,2,12500000
"Nikola Vucevic","C","ORL","2017-18","Est","Front","No",27,29.5,0.314,0.527,0.819,1.8,7.4,3.4,1,1.1,1.9,2.5,12250000
"Noah Vonleh","PF","CHI","2017-18","West","Front","No",22,16.2,0.303,0.5,0.621,1.3,4.5,0.6,0.4,0.3,0.6,1.3,4031018
"Norman Powell","SG","TOR","2017-18","Est","Front","No",24,15.2,0.285,0.516,0.821,0.2,1.5,1.3,0.5,0.2,0.9,1.6,1471382
"OG Anunoby","SF","TOR","2017-18","Est","Front","No",20,20,0.371,0.604,0.629,0.6,1.9,0.7,0.7,0.2,0.6,1.8,1645200
"Okaro White","PF","MIA","2017-18","Est","Front","No",25,13.3,0.364,0.6,0.667,0.5,1.3,0.3,0.2,0.2,0.2,1,1460927
"Omri Casspi","SF","GSW","2017-18","West","Front","No",29,14,0.455,0.595,0.725,0.6,3.2,1,0.3,0.4,0.7,1.3,2106470
"Otto Porter","SF","WAS","2017-18","Est","Front","No",24,31.6,0.441,0.537,0.828,1.3,5.1,2,1.5,0.5,1,2,24773250
"Pascal Siakam","PF","TOR","2017-18","Est","Front","No",23,20.7,0.22,0.612,0.621,1,3.5,2,0.8,0.5,0.8,2,1312611
"Pat Connaughton","SG","POR","2017-18","West","Back","No",25,18.1,0.352,0.506,0.841,0.4,1.5,1.1,0.3,0.3,0.5,1.5,1471382
"Patrick Beverley","SG","LAC","2017-18","West","Back","No",29,30.4,0.4,0.407,0.824,1.5,2.6,2.9,1.7,0.5,2.3,3.1,5513514
"Patrick McCaw","SG","GSW","2017-18","West","Back","No",22,16.9,0.238,0.503,0.765,0.3,1.2,1.4,0.8,0.2,0.7,1.2,1312611
"Patrick Patterson","PF","OKC","2017-18","West","Front","No",28,15.5,0.386,0.421,0.87,0.4,2,0.7,0.6,0.3,0.4,1.1,5192000
"Pau Gasol","C","SAS","2017-18","West","Front","No",37,23.5,0.358,0.481,0.756,1.7,6.4,3.1,0.3,1,1.4,1.6,16000000
"Paul George","SF","OKC","2017-18","West","Front","Yes",27,36.6,0.401,0.454,0.822,0.9,4.7,3.3,2,0.5,2.7,2.9,19300000
"Paul Millsap","PF","DEN","2017-18","West","Front","No",32,30.1,0.345,0.506,0.696,1.7,4.7,2.8,1,1.2,1.9,2.6,30769231
"Paul Zipser","SF","CHI","2017-18","Est","Front","No",23,15.3,0.336,0.355,0.76,0.2,2.2,0.9,0.4,0.3,0.8,1.6,1312611
"Quincy Acy","PF","BRK","2017-18","Est","Front","No",27,19.4,0.349,0.384,0.817,0.6,3.1,0.8,0.5,0.4,0.9,2.1,1709538
"Quincy Pondexter","SF","CHI","2017-18","Est","Back","No",29,8.5,0.136,0.407,0.824,0.3,0.8,0.4,0.3,0.1,0.5,1,3853931
"Quinn Cook","PG","GSW","2017-18","West","Back","No",24,22.4,0.442,0.514,0.88,0.3,2.2,2.7,0.4,0,1,1.8,189832
"Rajon Rondo","PG","NOP","2017-18","West","Back","No",31,26.2,0.333,0.526,0.543,0.5,3.6,8.2,1.1,0.2,2.3,1.8,6300000
"Ramon Sessions","PG","WAS","2017-18","Est","Back","No",31,14,0.308,0.374,0.772,0.2,1.1,2.8,0.5,0.1,1.1,1,2986463
"Rashad Vaughn","SG","ORL","2017-18","Est","Back","No",21,7.6,0.378,0.474,0.667,0.1,0.6,0.5,0.2,0.1,0.2,0.5,2338653
"Raul Neto","PG","UTA","2017-18","West","Back","No",25,12.1,0.404,0.481,0.743,0.2,1,1.8,0.3,0.1,0.9,0.9,1471382
"Raymond Felton","PG","OKC","2017-18","West","Back","No",33,16.6,0.352,0.444,0.818,0.3,1.6,2.5,0.6,0.2,0.9,1.1,2328652
"Reggie Bullock","SF","DET","2017-18","Est","Front","No",26,27.9,0.445,0.536,0.796,0.4,2,1.5,0.8,0.2,0.8,1.1,2500000
"Reggie Jackson","PG","DET","2017-18","Est","Back","No",27,26.7,0.308,0.475,0.836,0.6,2.1,5.3,0.6,0.1,2.2,1.9,16000000
"Richard Jefferson","SF","DEN","2017-18","West","Front","No",37,8.2,0.286,0.5,0.571,0.1,0.8,0.8,0.1,0.1,0.3,0.6,4828652
"Richaun Holmes","C","PHI","2017-18","Est","Front","No",24,15.5,0.129,0.624,0.661,1.2,3.2,1.3,0.4,0.6,0.5,2,1471382
"Ricky Rubio","PG","UTA","2017-18","West","Back","No",27,29.3,0.352,0.451,0.866,0.6,4,5.3,1.6,0.1,2.7,2.7,14100000
"Robert Covington","SF","PHI","2017-18","Est","Front","No",27,31.7,0.369,0.497,0.853,0.7,4.7,2,1.7,0.9,1.6,3,16698103
"Robin Lopez","C","CHI","2017-18","Est","Front","No",29,26.4,0.286,0.536,0.756,2.1,2.4,1.9,0.2,0.8,1.7,1.7,13788500
"Rodney Hood","SG","CLE","2017-18","West","Back","No",25,26.9,0.381,0.467,0.86,0.4,2.4,1.6,0.8,0.2,1.2,1.8,2386864
"Rodney McGruder","SG","MIA","2017-18","Est","Back","No",26,16.6,0.429,0.553,0.5,0.6,1.2,0.9,0.4,0.2,0.2,1.2,1312611
"Ron Baker","SG","NYK","2017-18","Est","Back","No",24,13.3,0.333,0.346,0.769,0.2,0.9,1.6,0.9,0.2,0.6,1.1,4328000
"Rondae Hollis-Jefferson","SF","BRK","2017-18","Est","Front","No",23,28.2,0.241,0.491,0.788,1.5,5.3,2.5,1,0.7,1.8,2.1,1455720
"Royce O'Neale","SF","UTA","2017-18","West","Front","No",24,16.7,0.356,0.47,0.803,0.4,3.1,1.4,0.5,0.2,0.8,1.5,815615
"Rudy Gay","PF","SAS","2017-18","West","Front","No",31,21.6,0.314,0.516,0.772,1.3,3.8,1.3,0.8,0.7,1.4,1.7,8406000
"Russell Westbrook","PG","OKC","2017-18","West","Back","Yes",29,36.4,0.298,0.485,0.737,1.9,8.2,10.3,1.8,0.3,4.8,2.5,28299399
"Ryan Anderson","PF","HOU","2017-18","West","Front","No",29,26.1,0.386,0.539,0.774,1.4,3.6,0.9,0.4,0.3,0.6,1.9,19578455
"Salah Mejri","C","DAL","2017-18","West","Front","No",31,12,0,0.657,0.576,1.4,2.6,0.6,0.4,1.1,0.6,2,1471382
"Sam Dekker","PF","LAC","2017-18","West","Front","No",23,12.1,0.167,0.593,0.661,0.6,1.8,0.5,0.3,0.1,0.5,1,1794600
