"Player.x","Pos1","Tm","Season","Conference","Role","Play","Age","MP","X3P.","X2P.","FT.","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Avery Bradley","SG","LAC","2017-18","Est","Back","No",27,31.2,0.369,0.436,0.768,0.5,2,2,1.1,0.2,2.2,2,8808989
"Bam Adebayo","C","MIA","2017-18","Est","Front","No",20,19.8,0,0.523,0.721,1.7,3.8,1.5,0.5,0.6,1,2,2490360
"Ben McLemore","SG","MEM","2017-18","West","Back","No",24,19.5,0.346,0.477,0.828,0.6,1.9,0.9,0.7,0.3,1.1,2.5,5200000
"Ben Simmons","PG","PHI","2017-18","Est","Back","No",21,33.7,0,0.551,0.56,1.8,6.3,8.2,1.7,0.9,3.4,2.6,6168840
"Bismack Biyombo","C","ORL","2017-18","Est","Front","No",25,18.2,0,0.521,0.65,1.8,4,0.8,0.3,1.2,1,1.9,17000000
"Blake Griffin","PF","DET","2017-18","West","Front","No",28,34,0.345,0.482,0.785,1.3,6.1,5.8,0.7,0.3,2.8,2.4,29512900
"Bobby Portis","PF","CHI","2017-18","Est","Front","No",22,22.5,0.359,0.514,0.769,2.2,4.6,1.7,0.7,0.3,1.4,1.8,1516320
"Bogdan Bogdanovic","SG","SAC","2017-18","West","Back","No",25,27.9,0.392,0.485,0.84,0.4,2.5,3.3,0.9,0.2,1.6,2.2,9470614
"Bojan Bogdanovic","SF","IND","2017-18","Est","Front","No",28,30.8,0.402,0.534,0.868,0.4,3,1.5,0.7,0.1,1.3,1.6,10500000
"Bradley Beal","SG","WAS","2017-18","Est","Back","Yes",24,36.3,0.375,0.507,0.791,0.7,3.7,4.5,1.2,0.4,2.6,2,23775506
"Brandon Ingram","SF","LAL","2017-18","West","Front","No",20,33.5,0.39,0.483,0.681,1,4.4,3.9,0.8,0.7,2.5,2.8,5519400
"Brandon Paul","SG","SAS","2017-18","West","Back","No",26,9,0.278,0.548,0.512,0.1,1,0.6,0.4,0.1,0.5,0.9,815615
"Briante Weber","PG","MEM","2017-18","West","Back","No",25,13.2,0.364,0.469,0.8,0.4,1.5,1.2,1,0.3,0.8,1.6,160378
"Brice Johnson","PF","MEM","2017-18","West","Front","No",23,5.4,0,0.488,0.6,0.5,1.2,0.1,0.5,0.3,0.3,0.7,1331160
"Brook Lopez","C","LAL","2017-18","West","Front","No",29,23.4,0.345,0.549,0.703,1,3,1.7,0.4,1.3,1.3,2.6,22642350
"Bruno Caboclo","SF","SAC","2017-18","Est","Front","No",22,8.9,0.176,0.429,0.833,0.6,1.3,0.3,0.3,0.3,0.3,0.7,2451224
"Bryn Forbes","SG","SAS","2017-18","West","Back","No",24,19,0.39,0.446,0.667,0.2,1.2,1,0.4,0,0.5,1.4,1312611
"Buddy Hield","SG","SAC","2017-18","West","Back","No",25,25.3,0.431,0.457,0.877,0.7,3.2,1.9,1.1,0.3,1.6,1.9,3675480
"Caleb Swanigan","PF","POR","2017-18","West","Front","No",20,7,0.125,0.442,0.667,0.6,1.4,0.5,0.2,0.1,0.7,1.4,1465920
"Cameron Payne","PG","CHI","2017-18","Est","Back","No",23,23.3,0.385,0.419,0.75,0.7,2,4.5,1,0.4,1.4,1.8,2203440
"Caris LeVert","SF","BRK","2017-18","Est","Back","No",23,26.3,0.347,0.48,0.711,0.7,2.9,4.2,1.2,0.3,2.2,2.2,1632480
"Carmelo Anthony","PF","OKC","2017-18","West","Front","No",33,32.1,0.357,0.437,0.767,0.9,4.9,1.3,0.6,0.6,1.3,2.5,26243760
"Cedi Osman","SF","CLE","2017-18","Est","Front","No",22,11,0.368,0.586,0.565,0.3,1.7,0.7,0.4,0,0.5,1.3,2642857
"Chandler Parsons","SF","MEM","2017-18","West","Front","No",29,19.2,0.421,0.504,0.63,0.4,2.1,1.9,0.5,0.3,1,1.5,23112004
"Channing Frye","C","LAL","2017-18","Est","Front","No",34,13.1,0.339,0.67,0.895,0.2,2.3,0.7,0.3,0.2,0.4,1.3,7420912
"Chris Paul","PG","HOU","2017-18","West","Back","No",32,31.8,0.38,0.532,0.919,0.6,4.8,7.9,1.7,0.2,2.2,2.4,24268959
"CJ McCollum","SG","POR","2017-18","West","Back","No",26,36.1,0.397,0.465,0.836,0.7,3.3,3.4,1,0.4,1.9,2.1,23962573
"Clint Capela","C","HOU","2017-18","West","Front","No",23,27.5,0,0.653,0.56,3.3,7.6,0.9,0.8,1.9,1.4,2.5,2334528
"Cody Zeller","C","CHO","2017-18","Est","Front","No",25,19,0.667,0.542,0.718,2,3.3,0.9,0.4,0.6,1,2.5,12584270
"Corey Brewer","SF","OKC","2017-18","West","Front","No",31,16.8,0.282,0.539,0.722,0.6,1.5,0.9,1.1,0.2,0.7,1.9,8105615
"Cory Joseph","PG","IND","2017-18","Est","Back","No",26,27,0.353,0.457,0.745,0.5,2.7,3.2,1,0.2,1.1,1.7,7630000
"Courtney Lee","SG","NYK","2017-18","Est","Back","No",32,30.4,0.406,0.482,0.919,0.4,2.6,2.4,1.1,0.2,1.1,1.4,11747890
"Cristiano Felício","C","CHI","2017-18","Est","Front","No",25,17.8,0,0.596,0.667,1.5,2.7,1,0.3,0.2,1,1.9,7843500
"D'Angelo Russell","PG","BRK","2017-18","Est","Back","No",21,25.7,0.324,0.477,0.74,0.6,3.3,5.2,0.8,0.4,3.1,1.9,5562360
"Damian Lillard","PG","POR","2017-18","West","Back","Yes",27,36.6,0.361,0.501,0.916,0.8,3.6,6.6,1.1,0.4,2.8,1.6,26153057
"Damien Wilkins","SF","IND","2017-18","Est","Back","No",38,8,0.222,0.429,0.75,0.3,0.6,0.5,0.1,0.1,0.3,0.4,992696
"Damyean Dotson","SG","NYK","2017-18","Est","Back","No",23,10.8,0.324,0.538,0.696,0.2,1.7,0.7,0.3,0,0.4,0.8,1100000
"Daniel Theis","C","BOS","2017-18","Est","Front","No",25,14.9,0.31,0.617,0.753,1.4,2.9,0.9,0.5,0.8,0.9,2.5,815615
